sa3,LFSP Labour Force Status,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
20601,0-4 years,0,0,0,0,0,0,0,4663
,5-9 years,0,0,0,0,0,0,0,3983
,10-14 years,0,0,0,0,0,0,0,3284
,15-19 years,114,907,49,66,292,1749,159,0
,20-24 years,1878,2968,207,242,431,1672,437,0
,25-29 years,5639,2590,336,338,247,1247,665,0
,30-34 years,5820,1840,443,204,127,975,645,0
,35-39 years,4293,1735,340,184,82,863,474,0
,40-44 years,3270,1473,207,180,89,756,335,0
,45-49 years,2980,1203,155,127,83,717,286,0
,50-54 years,2366,950,151,115,54,786,268,0
,55-59 years,1708,855,107,90,46,1045,227,0
,60-64 years,916,653,74,72,55,1348,192,0
,65-69 years,336,336,51,9,10,1831,158,0
,70-74 years,75,111,17,0,7,1731,129,0
,75-79 years,23,32,8,0,3,1819,133,0
,80-84 years,3,13,5,0,0,1491,120,0
,85-89 years,4,0,0,0,0,1039,80,0
,90-94 years,0,0,0,0,0,399,37,0
,95-99 years,6,0,0,0,0,85,8,0
,100 years and over,0,0,0,0,0,19,4,0
20602,0-4 years,0,0,0,0,0,0,0,2977
,5-9 years,0,0,0,0,0,0,0,2903
,10-14 years,0,0,0,0,0,0,0,2556
,15-19 years,53,619,34,28,192,1144,100,0
,20-24 years,908,1392,119,113,142,623,215,0
,25-29 years,2809,1207,160,127,86,437,354,0
,30-34 years,3098,1047,224,103,57,408,377,0
,35-39 years,2446,1042,211,89,43,423,307,0
,40-44 years,2250,1100,116,91,48,460,263,0
,45-49 years,2134,1021,112,78,62,455,221,0
,50-54 years,1627,808,95,50,32,451,167,0
,55-59 years,1229,606,80,51,38,543,152,0
,60-64 years,612,456,57,30,24,795,121,0
,65-69 years,206,194,32,0,11,1142,103,0
,70-74 years,32,76,5,0,8,1055,93,0
,75-79 years,19,23,6,0,0,1154,94,0
,80-84 years,4,9,3,3,0,986,91,0
,85-89 years,3,0,0,0,0,646,76,0
,90-94 years,0,0,0,0,0,256,27,0
,95-99 years,3,0,0,0,0,59,0,0
,100 years and over,0,0,0,0,0,3,0,0
20603,0-4 years,0,0,0,0,0,0,0,3793
,5-9 years,0,0,0,0,0,0,0,3704
,10-14 years,0,0,0,0,0,0,0,3432
,15-19 years,105,1127,66,37,265,1810,191,0
,20-24 years,1411,1925,170,156,249,943,325,0
,25-29 years,3305,1178,195,234,136,752,505,0
,30-34 years,3619,920,300,166,92,692,466,0
,35-39 years,2665,945,222,114,51,592,335,0
,40-44 years,2544,1042,151,99,56,601,331,0
,45-49 years,2600,1052,120,128,52,582,298,0
,50-54 years,2259,861,115,89,49,573,231,0
,55-59 years,1850,797,101,66,46,853,229,0
,60-64 years,966,715,93,46,39,1210,207,0
,65-69 years,319,392,46,9,17,1632,168,0
,70-74 years,77,110,23,0,4,1354,129,0
,75-79 years,20,41,6,0,0,1216,112,0
,80-84 years,10,11,3,0,0,1045,122,0
,85-89 years,0,8,4,0,0,798,95,0
,90-94 years,0,0,0,0,0,415,44,0
,95-99 years,3,4,0,0,0,92,12,0
,100 years and over,0,0,0,0,0,6,0,0
20604,0-4 years,0,0,0,0,0,0,0,4387
,5-9 years,0,0,0,0,0,0,0,2466
,10-14 years,0,0,0,0,0,0,0,1873
,15-19 years,145,1291,231,51,1108,6816,963,0
,20-24 years,3388,5447,606,589,2492,14403,2840,0
,25-29 years,11143,4950,590,870,802,5117,2779,0
,30-34 years,9939,2658,581,460,274,2240,2021,0
,35-39 years,5311,1415,366,256,138,1145,1192,0
,40-44 years,3288,888,169,175,88,846,764,0
,45-49 years,2680,720,150,152,53,746,628,0
,50-54 years,2258,665,127,122,61,817,606,0
,55-59 years,1767,628,130,89,60,965,529,0
,60-64 years,1105,620,91,56,38,1270,456,0
,65-69 years,514,473,58,10,20,1668,433,0
,70-74 years,208,253,22,10,9,1297,297,0
,75-79 years,60,100,12,0,0,996,204,0
,80-84 years,18,31,12,0,0,697,162,0
,85-89 years,10,12,0,0,0,502,185,0
,90-94 years,0,6,0,0,0,247,116,0
,95-99 years,8,0,0,0,0,78,56,0
,100 years and over,0,0,0,0,0,13,8,0
20605,0-4 years,0,0,0,0,0,0,0,4898
,5-9 years,0,0,0,0,0,0,0,3831
,10-14 years,0,0,0,0,0,0,0,3063
,15-19 years,104,675,53,23,198,1620,221,0
,20-24 years,2206,1949,156,190,252,1132,671,0
,25-29 years,7604,1947,347,297,169,933,1425,0
,30-34 years,8503,1651,535,262,110,963,1511,0
,35-39 years,5998,1417,382,187,97,866,995,0
,40-44 years,4632,1348,253,215,97,815,803,0
,45-49 years,4007,1287,175,198,67,887,718,0
,50-54 years,3109,1092,147,195,80,918,613,0
,55-59 years,2465,1063,124,131,71,1175,611,0
,60-64 years,1304,913,125,94,57,1620,445,0
,65-69 years,618,667,65,21,29,2272,431,0
,70-74 years,213,323,30,7,16,1975,283,0
,75-79 years,46,108,16,3,3,1537,205,0
,80-84 years,13,23,0,0,0,1084,154,0
,85-89 years,8,8,6,0,0,756,105,0
,90-94 years,3,0,0,0,0,366,53,0
,95-99 years,0,0,0,0,0,91,9,0
,100 years and over,0,0,0,0,0,16,0,0
20606,0-4 years,0,0,0,0,0,0,0,2274
,5-9 years,0,0,0,0,0,0,0,1815
,10-14 years,0,0,0,0,0,0,0,1694
,15-19 years,84,477,31,25,132,1290,186,0
,20-24 years,1836,1718,162,111,291,1268,482,0
,25-29 years,6221,1444,226,188,106,640,954,0
,30-34 years,5599,1027,315,171,63,541,809,0
,35-39 years,3144,651,148,114,39,463,473,0
,40-44 years,2100,618,96,99,43,477,321,0
,45-49 years,1914,548,78,107,47,493,296,0
,50-54 years,1570,535,74,54,34,539,265,0
,55-59 years,1266,566,74,67,37,668,251,0
,60-64 years,837,556,59,32,27,968,243,0
,65-69 years,510,550,46,3,24,1372,229,0
,70-74 years,194,314,45,3,8,1395,173,0
,75-79 years,69,135,11,0,0,1364,182,0
,80-84 years,26,51,7,0,0,1043,155,0
,85-89 years,6,22,9,0,0,692,105,0
,90-94 years,0,13,4,0,0,322,60,0
,95-99 years,5,0,0,0,0,82,18,0
,100 years and over,0,0,0,0,0,12,4,0
20607,0-4 years,0,0,0,0,0,0,0,4024
,5-9 years,0,0,0,0,0,0,0,3183
,10-14 years,0,0,0,0,0,0,0,2585
,15-19 years,80,725,52,42,189,1427,233,0
,20-24 years,2125,2355,205,194,330,1222,674,0
,25-29 years,8729,2291,388,280,194,1029,1298,0
,30-34 years,8124,1662,438,241,107,798,1105,0
,35-39 years,4750,1224,360,199,73,807,700,0
,40-44 years,3256,1060,196,151,96,748,523,0
,45-49 years,2757,994,125,160,77,771,468,0
,50-54 years,2322,770,135,132,53,772,433,0
,55-59 years,1795,786,88,105,58,978,398,0
,60-64 years,1028,704,90,67,44,1311,351,0
,65-69 years,477,530,51,13,24,1785,292,0
,70-74 years,131,245,26,0,12,1564,216,0
,75-79 years,31,55,7,4,5,1300,168,0
,80-84 years,6,18,0,0,0,1024,139,0
,85-89 years,9,10,0,0,0,598,90,0
,90-94 years,0,0,3,0,0,254,33,0
,95-99 years,4,5,0,0,0,55,14,0
,100 years and over,0,0,0,0,0,5,0,0
20701,0-4 years,0,0,0,0,0,0,0,7742
,5-9 years,0,0,0,0,0,0,0,10047
,10-14 years,0,0,0,0,0,0,0,11019
,15-19 years,165,3059,191,42,777,7289,391,0
,20-24 years,2977,5242,410,265,741,3120,591,0
,25-29 years,6766,2342,386,354,254,1448,694,0
,30-34 years,6010,1662,482,234,119,1231,568,0
,35-39 years,5311,1909,403,205,118,1375,461,0
,40-44 years,5831,2474,269,183,156,1528,509,0
,45-49 years,6642,2771,282,257,154,1686,531,0
,50-54 years,6351,2566,300,228,116,1688,537,0
,55-59 years,4952,2197,265,185,114,2072,444,0
,60-64 years,2938,1963,222,117,103,3003,408,0
,65-69 years,1243,1581,147,30,45,4495,383,0
,70-74 years,420,806,77,9,19,4355,339,0
,75-79 years,116,269,39,5,7,3784,287,0
,80-84 years,32,96,17,0,3,3090,284,0
,85-89 years,8,46,11,0,5,2484,211,0
,90-94 years,7,11,4,0,0,1435,138,0
,95-99 years,0,0,0,0,0,374,38,0
,100 years and over,0,0,0,0,0,52,8,0
20702,0-4 years,0,0,0,0,0,0,0,4404
,5-9 years,0,0,0,0,0,0,0,4950
,10-14 years,0,0,0,0,0,0,0,4692
,15-19 years,104,1388,70,46,435,3311,141,0
,20-24 years,1371,1948,170,192,291,1402,165,0
,25-29 years,2867,985,210,212,109,876,241,0
,30-34 years,2878,916,256,161,74,841,192,0
,35-39 years,2774,1090,207,120,89,950,188,0
,40-44 years,2921,1245,143,150,97,951,173,0
,45-49 years,3157,1451,148,144,88,994,211,0
,50-54 years,3034,1492,135,150,103,1060,227,0
,55-59 years,2464,1256,159,130,82,1476,204,0
,60-64 years,1501,1080,111,73,56,2099,198,0
,65-69 years,613,742,83,17,26,3358,206,0
,70-74 years,226,404,44,7,8,3752,227,0
,75-79 years,68,165,22,0,3,3768,270,0
,80-84 years,18,53,4,3,0,2756,236,0
,85-89 years,3,17,5,0,0,1717,190,0
,90-94 years,0,0,0,0,0,711,97,0
,95-99 years,0,0,0,0,0,179,31,0
,100 years and over,0,0,0,0,0,28,17,0
20703,0-4 years,0,0,0,0,0,0,0,5265
,5-9 years,0,0,0,0,0,0,0,5587
,10-14 years,0,0,0,0,0,0,0,5589
,15-19 years,160,1806,122,49,591,3941,243,0
,20-24 years,1580,3031,219,226,707,3540,368,0
,25-29 years,3428,1744,240,299,271,1747,340,0
,30-34 years,3557,1307,287,221,146,1083,294,0
,35-39 years,3076,1404,246,146,104,949,213,0
,40-44 years,3455,1627,152,135,93,1047,229,0
,45-49 years,3674,1722,174,152,97,996,256,0
,50-54 years,3277,1353,158,138,63,996,248,0
,55-59 years,2660,1285,153,133,76,1337,241,0
,60-64 years,1337,1074,117,66,69,2023,196,0
,65-69 years,443,651,65,13,23,2865,204,0
,70-74 years,132,315,33,0,6,2864,202,0
,75-79 years,30,114,6,0,0,2864,210,0
,80-84 years,7,31,10,0,0,2522,214,0
,85-89 years,5,13,11,0,0,1875,204,0
,90-94 years,0,0,0,0,0,820,136,0
,95-99 years,0,0,0,0,0,135,51,0
,100 years and over,0,0,0,0,0,22,4,0
20801,0-4 years,0,0,0,0,0,0,0,4993
,5-9 years,0,0,0,0,0,0,0,6575
,10-14 years,0,0,0,0,0,0,0,6854
,15-19 years,134,1759,113,28,403,3526,220,0
,20-24 years,1249,2122,148,126,207,820,244,0
,25-29 years,2220,656,137,88,46,403,214,0
,30-34 years,2376,709,227,92,43,519,265,0
,35-39 years,2783,1107,255,73,45,753,250,0
,40-44 years,3832,1639,193,104,114,899,370,0
,45-49 years,4589,1916,180,122,94,1003,404,0
,50-54 years,4151,1644,200,144,72,966,376,0
,55-59 years,3260,1622,183,120,67,1281,343,0
,60-64 years,1807,1353,165,65,59,2004,305,0
,65-69 years,811,1099,111,18,40,3046,274,0
,70-74 years,245,561,52,6,22,3166,272,0
,75-79 years,80,182,16,5,3,2546,196,0
,80-84 years,14,55,10,0,0,2063,184,0
,85-89 years,0,25,7,0,0,1854,197,0
,90-94 years,6,6,4,0,0,1045,136,0
,95-99 years,4,0,0,0,0,264,40,0
,100 years and over,0,0,0,0,0,31,9,0
20802,0-4 years,0,0,0,0,0,0,0,9079
,5-9 years,0,0,0,0,0,0,0,9435
,10-14 years,0,0,0,0,0,0,0,8572
,15-19 years,157,2159,127,60,555,4859,267,0
,20-24 years,2096,3582,267,287,628,3128,491,0
,25-29 years,5876,2320,360,393,284,1705,620,0
,30-34 years,6714,2090,589,291,154,1347,628,0
,35-39 years,5766,2207,451,205,102,1259,503,0
,40-44 years,6056,2451,257,213,148,1212,474,0
,45-49 years,5839,2617,258,217,130,1206,455,0
,50-54 years,5030,2071,227,220,114,1173,408,0
,55-59 years,4013,1917,239,175,78,1696,374,0
,60-64 years,2359,1672,196,99,97,2556,338,0
,65-69 years,973,1192,108,20,34,3922,318,0
,70-74 years,223,517,52,9,23,3366,250,0
,75-79 years,63,152,23,3,6,3233,266,0
,80-84 years,28,84,14,0,0,2746,221,0
,85-89 years,7,26,14,4,0,2328,216,0
,90-94 years,0,4,7,0,0,1289,132,0
,95-99 years,0,0,0,0,0,314,30,0
