sa3_home,sa3_work,count
20601,20601,7008
,20602,674
,20603,1039
,20604,17903
,20605,2144
,20606,596
,20607,3683
,20701,1005
,20702,204
,20703,374
,20801,94
,20802,217
,20803,143
,20804,162
,20901,698
,20902,1181
,20903,94
,20904,679
,21001,889
,21002,33
,21003,914
,21004,59
,21005,1683
,21101,174
,21102,10
,21103,124
,21104,110
,21105,56
,21201,13
,21202,34
,21203,22
,21204,185
,21205,508
,21301,702
,21302,279
,21303,871
,21304,187
,21305,316
,21401,27
,21402,29
20602,20601,812
,20602,3807
,20603,193
,20604,9234
,20605,1149
,20606,428
,20607,3331
,20701,1033
,20702,243
,20703,407
,20801,64
,20802,137
,20803,86
,20804,122
,20901,1063
,20902,1332
,20903,102
,20904,690
,21001,197
,21002,7
,21003,199
,21004,13
,21005,569
,21101,150
,21102,21
,21103,144
,21104,113
,21105,47
,21201,11
,21202,27
,21203,16
,21204,165
,21205,419
,21301,206
,21302,98
,21303,273
,21304,60
,21305,123
,21401,25
,21402,23
20603,20601,812
,20602,208
,20603,5503
,20604,11931
,20605,1647
,20606,353
,20607,1544
,20701,501
,20702,80
,20703,190
,20801,91
,20802,125
,20803,73
,20804,100
,20901,256
,20902,402
,20903,22
,20904,419
,21001,1873
,21002,38
,21003,445
,21004,100
,21005,1763
,21101,89
,21102,9
,21103,71
,21104,50
,21105,20
,21201,8
,21202,24
,21203,8
,21204,146
,21205,298
,21301,1052
,21302,410
,21303,1477
,21304,253
,21305,528
,21401,20
,21402,16
20604,20601,653
,20602,290
,20603,567
,20604,39686
,20605,4286
,20606,1405
,20607,4028
,20701,1471
,20702,199
,20703,607
,20801,312
,20802,454
,20803,330
,20804,311
,20901,368
,20902,371
,20903,37
,20904,282
,21001,347
,21002,20
,21003,132
,21004,25
,21005,857
,21101,253
,21102,16
,21103,176
,21104,173
,21105,61
,21201,20
,21202,107
,21203,29
,21204,424
,21205,1016
,21301,610
,21302,427
,21303,953
,21304,128
,21305,534
,21401,93
,21402,70
20605,20601,262
,20602,129
,20603,195
,20604,20325
,20605,14746
,20606,2405
,20607,3167
,20701,1408
,20702,103
,20703,473
,20801,1214
,20802,1691
,20803,1129
,20804,660
,20901,226
,20902,221
,20903,20
,20904,181
,21001,277
,21002,5
,21003,71
,21004,19
,21005,582
,21101,312
,21102,10
,21103,127
,21104,141
,21105,54
,21201,31
,21202,132
,21203,68
,21204,844
,21205,1646
,21301,430
,21302,425
,21303,499
,21304,123
,21305,452
,21401,194
,21402,82
20606,20601,155
,20602,58
,20603,74
,20604,12941
,20605,3156
,20606,6965
,20607,2808
,20701,1475
,20702,97
,20703,354
,20801,429
,20802,772
,20803,489
,20804,800
,20901,154
,20902,127
,20903,8
,20904,84
,21001,104
,21002,3
,21003,32
,21004,9
,21005,234
,21101,244
,21102,3
,21103,94
,21104,90
,21105,37
,21201,30
,21202,124
,21203,41
,21204,497
,21205,1267
,21301,161
,21302,135
,21303,198
,21304,21
,21305,174
,21401,94
,21402,60
20607,20601,671
,20602,585
,20603,210
,20604,20076
,20605,2655
,20606,1435
,20607,12461
,20701,2323
,20702,264
,20703,667
,20801,194
,20802,414
,20803,278
,20804,353
,20901,771
,20902,630
,20903,74
,20904,403
,21001,224
,21002,12
,21003,107
,21004,15
,21005,482
,21101,320
,21102,21
,21103,262
,21104,185
,21105,108
,21201,24
,21202,110
,21203,31
,21204,492
,21205,1068
,21301,269
,21302,217
,21303,474
,21304,57
,21305,211
,21401,93
,21402,50
20701,20601,458
,20602,469
,20603,229
,20604,22659
,20605,3180
,20606,2116
,20607,5848
,20701,21594
,20702,1328
,20703,3398
,20801,446
,20802,916
,20803,757
,20804,1733
,20901,1320
,20902,760
,20903,127
,20904,544
,21001,251
,21002,19
,21003,143
,21004,8
,21005,662
,21101,1092
,21102,87
,21103,786
,21104,787
,21105,260
,21201,67
,21202,292
,21203,110
,21204,1435
,21205,3596
,21301,309
,21302,248
,21303,403
,21304,68
,21305,264
,21401,181
,21402,111
20702,20601,411
,20602,365
,20603,108
,20604,7931
,20605,1159
,20606,447
,20607,1774
,20701,2699
,20702,8723
,20703,2583
,20801,84
,20802,217
,20803,313
,20804,297
,20901,1418
,20902,781
,20903,319
,20904,682
,21001,235
,21002,9
,21003,187
,21004,9
,21005,630
,21101,871
,21102,267
,21103,911
,21104,1022
,21105,266
,21201,29
,21202,137
,21203,34
,21204,774
,21205,1541
,21301,195
,21302,133
,21303,208
,21304,57
,21305,108
,21401,80
,21402,45
20703,20601,185
,20602,157
,20603,66
,20604,9318
,20605,1356
,20606,652
,20607,1881
,20701,4651
,20702,1320
,20703,10369
,20801,189
,20802,505
,20803,573
,20804,712
,20901,645
,20902,323
,20903,99
,20904,239
,21001,92
,21002,3
,21003,60
,21004,0
,21005,280
,21101,1404
,21102,150
,21103,1157
,21104,1926
,21105,363
,21201,48
,21202,243
,21203,71
,21204,1292
,21205,3200
,21301,116
,21302,101
,21303,156
,21304,27
,21305,108
,21401,143
,21402,47
20801,20601,88
,20602,52
,20603,70
,20604,10504
,20605,3525
,20606,1184
,20607,1353
